               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12829,            0.054343,             0.03045,                   0,                   0,                   0,                   0,             0.12796,            0.046016,            0.031531,              0.0982,              0.0002,              0.0002
                   1,             0.12584,            0.060382,            0.030493,                   0,                   0,                   0,                   0,             0.12433,            0.047681,            0.030428,            0.095467,            0.000467,            0.000467
                   2,              0.1233,            0.060429,            0.029832,           0.0064516,            0.071429,           0.0036866,           0.0011131,             0.11766,            0.051385,            0.028896,            0.092694,           0.0006944,           0.0006944
                   3,             0.11612,            0.069938,            0.029293,            0.017453,              0.2619,            0.074742,            0.015284,             0.10883,            0.055895,            0.027653,            0.089882,           0.0008822,           0.0008822
                   4,             0.10755,            0.075498,            0.028419,            0.034535,             0.19048,             0.14231,            0.037401,            0.097232,            0.060097,             0.02691,             0.08703,           0.0010304,           0.0010304
                   5,            0.098697,            0.075757,            0.028315,              0.1322,              0.2619,              0.1552,            0.049347,            0.088164,            0.062769,            0.026547,            0.084139,            0.001139,            0.001139
                   6,            0.094909,            0.088527,            0.027666,             0.32885,             0.10714,             0.15224,            0.054821,            0.078981,            0.064676,            0.026027,            0.081208,            0.001208,            0.001208
                   7,            0.096142,            0.097808,            0.027022,              0.4048,             0.13306,             0.17527,            0.067781,            0.077277,            0.063689,            0.025701,            0.078237,           0.0012374,           0.0012374
                   8,            0.092524,            0.093927,            0.026855,             0.29155,             0.21333,             0.20026,            0.049429,            0.074763,            0.061257,            0.025094,            0.075227,           0.0012272,           0.0012272
                   9,            0.089745,             0.10109,             0.02688,             0.16016,             0.20244,             0.15378,            0.040798,            0.073964,             0.05914,            0.024866,            0.072177,           0.0011774,           0.0011774
                  10,            0.090012,            0.089077,            0.025629,             0.11641,             0.34473,             0.10378,            0.036578,            0.073269,            0.056029,              0.0246,            0.069088,            0.001088,            0.001088
                  11,              0.0852,            0.075933,            0.025963,              0.1525,             0.18452,            0.090831,            0.039849,            0.072495,             0.05502,            0.024605,            0.065959,            0.000959,            0.000959
                  12,            0.084826,             0.07719,            0.025613,              0.1607,              0.2619,             0.16744,             0.07024,            0.071982,            0.054304,            0.024689,             0.06279,           0.0007904,           0.0007904
                  13,            0.085007,            0.087653,            0.025146,             0.16683,             0.27304,             0.17912,            0.071215,            0.071974,            0.054564,            0.024746,            0.059582,           0.0005822,           0.0005822
                  14,            0.081002,            0.073542,            0.025502,             0.19766,             0.30357,             0.21942,            0.087133,             0.06889,            0.054677,            0.024679,            0.056334,           0.0003344,           0.0003344
