               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12829,            0.054343,             0.03045,                   0,                   0,                   0,                   0,             0.12796,            0.046016,            0.031531,              0.0982,              0.0002,              0.0002
                   1,             0.12581,             0.06043,            0.030488,                   0,                   0,                   0,                   0,             0.12417,            0.047778,            0.030382,            0.095497,           0.0004967,           0.0004967
                   2,             0.12297,              0.0608,            0.029786,           0.0064103,            0.071429,           0.0037198,           0.0011371,             0.11683,            0.051891,            0.028731,            0.092789,          0.00078944,          0.00078944
                   3,             0.11487,            0.071313,            0.029167,            0.029339,             0.22619,               0.136,            0.023109,             0.10641,            0.056942,            0.027426,            0.090078,           0.0010782,           0.0010782
                   4,             0.10476,            0.078162,            0.028296,             0.10326,             0.22619,             0.15155,            0.041124,            0.091647,            0.061408,            0.026708,            0.087363,            0.001363,            0.001363
                   5,            0.095234,            0.077606,            0.028007,             0.43139,             0.14881,             0.15857,            0.051555,            0.081354,             0.06384,            0.026158,            0.084644,           0.0016439,           0.0016439
                   6,            0.091951,            0.089294,             0.02717,             0.34538,             0.14881,             0.16369,            0.067063,            0.074885,            0.063375,            0.025379,            0.081921,           0.0019208,           0.0019208
                   7,            0.093362,             0.09661,            0.026474,             0.16854,             0.14547,             0.19739,            0.054846,            0.075202,            0.059804,            0.025071,            0.079194,           0.0021937,           0.0021937
                   8,             0.08864,            0.090735,            0.026049,             0.12718,             0.36905,             0.10694,            0.037821,            0.072271,            0.055895,            0.025228,            0.076463,           0.0024627,           0.0024627
                   9,            0.084989,            0.091129,            0.026021,             0.75384,             0.14286,             0.19338,            0.080084,            0.078791,            0.057929,            0.025956,            0.073728,           0.0027277,           0.0027277
                  10,            0.083485,             0.07574,            0.024658,             0.94494,             0.32143,             0.35288,             0.16422,            0.088637,            0.085452,            0.026467,            0.070989,           0.0029888,           0.0029888
                  11,             0.08725,            0.064165,            0.024987,             0.92543,             0.32143,             0.41872,             0.17416,            0.085474,            0.088151,            0.026296,            0.068246,           0.0032459,           0.0032459
                  12,            0.081627,            0.066346,            0.024066,             0.84355,             0.32143,             0.49586,             0.23887,            0.078044,            0.072902,            0.024875,            0.065499,            0.003499,            0.003499
                  13,            0.080208,            0.073341,            0.023263,             0.37503,             0.57143,             0.41147,             0.13455,            0.070645,            0.072243,            0.024747,            0.062748,           0.0037482,           0.0037482
                  14,            0.068964,            0.066199,            0.023589,             0.45813,             0.53571,             0.34575,             0.12665,            0.074703,            0.064969,            0.022814,            0.059993,           0.0039934,           0.0039934
                  15,            0.076818,            0.057197,            0.022315,             0.48129,             0.57143,             0.39165,              0.1029,            0.075085,            0.061694,            0.021826,            0.057235,           0.0042347,           0.0042347
                  16,            0.071464,              0.0577,            0.021468,             0.48103,             0.61905,             0.40356,             0.16994,             0.07508,            0.055598,            0.019755,            0.054472,            0.004472,            0.004472
                  17,            0.077422,            0.057917,            0.020804,             0.55583,             0.57738,             0.49902,             0.18855,            0.057475,            0.046384,            0.018517,            0.051705,           0.0047053,           0.0047053
                  18,            0.066642,            0.065735,            0.020826,             0.23277,             0.46429,             0.22445,            0.080064,            0.085585,            0.051121,            0.016937,            0.048935,           0.0049347,           0.0049347
                  19,            0.085975,            0.061852,            0.019927,             0.65556,             0.55535,             0.65078,             0.24776,             0.06348,            0.043898,            0.015987,             0.04616,           0.0051601,           0.0051601
                  20,            0.066128,            0.060039,            0.019342,             0.41829,             0.35714,             0.34897,             0.13933,            0.077694,            0.047575,            0.014792,            0.043382,           0.0053816,           0.0053816
                  21,            0.080996,            0.061816,            0.018663,             0.49448,              0.3631,             0.42429,              0.1608,            0.068337,            0.043243,            0.013937,            0.040599,           0.0055991,           0.0055991
                  22,            0.068912,            0.055606,            0.017086,             0.34222,             0.47566,             0.43192,             0.14645,            0.072708,            0.039806,            0.012076,            0.037813,           0.0058126,           0.0058126
                  23,            0.075191,            0.057114,            0.016758,              0.4511,             0.64881,             0.51284,             0.13517,            0.067432,            0.037166,            0.011798,            0.035022,           0.0060222,           0.0060222
                  24,            0.073715,            0.058459,             0.01503,             0.64847,             0.75595,             0.72409,             0.33305,            0.070347,            0.036185,            0.010139,            0.032228,           0.0062278,           0.0062278
                  25,            0.073843,            0.056099,            0.014271,             0.40594,                 0.5,             0.61027,             0.27267,            0.078793,            0.034099,           0.0092366,            0.029429,           0.0064295,           0.0064295
                  26,            0.077951,            0.055869,            0.014184,             0.26103,             0.79167,             0.28217,            0.084807,            0.072522,            0.037585,           0.0080627,            0.026627,           0.0066272,           0.0066272
                  27,            0.079263,             0.05601,             0.01257,             0.15836,             0.58929,             0.21418,             0.11281,            0.077342,            0.037808,           0.0068555,            0.023821,           0.0068209,           0.0068209
                  28,            0.082102,            0.052777,            0.010193,             0.15836,             0.58929,             0.21418,             0.11281,            0.077342,            0.037808,           0.0068555,            0.021011,           0.0070107,           0.0070107
                  29,            0.070874,            0.062013,             0.01108,             0.44296,             0.85533,             0.61412,             0.21842,            0.057389,            0.034051,           0.0063637,            0.018197,           0.0071965,           0.0071965
                  30,            0.067812,            0.064415,            0.010485,             0.42482,             0.69643,              0.5247,             0.14089,            0.078799,            0.039577,           0.0055484,            0.015378,           0.0073784,           0.0073784
                  31,            0.078528,            0.061975,           0.0099364,             0.19183,             0.91667,             0.30852,             0.11929,            0.070416,            0.033629,           0.0055217,            0.012556,           0.0075563,           0.0075563
                  32,            0.075057,            0.062381,           0.0095854,             0.19183,             0.91667,             0.30852,             0.11929,            0.070416,            0.033629,           0.0055217,           0.0097302,           0.0077302,           0.0077302
                  33,            0.062889,            0.055321,           0.0092385,             0.55019,              0.7619,             0.58863,             0.24324,            0.049912,            0.030571,           0.0052629,            0.007822,            0.007822,            0.007822
