               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.031193,            0.020273,           0.0035565,             0.96399,             0.96429,             0.97815,              0.7919,            0.017396,           0.0084867,           0.0045502,            0.006535,            0.006535,            0.006535
                  37,            0.030666,             0.01921,           0.0032289,             0.95104,             0.96429,              0.9813,             0.57533,            0.032012,           0.0096903,           0.0047775,            0.006436,            0.006436,            0.006436
                  38,            0.028743,            0.016537,           0.0030406,             0.94355,             0.96164,              0.9769,             0.79922,            0.017997,           0.0085897,           0.0052683,            0.006337,            0.006337,            0.006337
                  39,            0.030608,            0.017752,           0.0037048,             0.93966,             0.96429,             0.98882,             0.60502,            0.027105,           0.0096102,           0.0052786,            0.006238,            0.006238,            0.006238
                  40,            0.029843,            0.017742,           0.0035342,              0.9396,             0.96429,             0.98882,             0.70912,            0.021263,           0.0092192,           0.0053394,            0.006139,            0.006139,            0.006139
                  41,            0.031578,            0.019432,           0.0041932,             0.93615,             0.97728,               0.995,             0.81534,            0.022486,            0.009119,           0.0052425,             0.00604,             0.00604,             0.00604
                  42,             0.03275,            0.020938,           0.0040795,             0.94022,              0.9622,             0.98882,             0.55859,            0.031835,           0.0096903,            0.005482,            0.005941,            0.005941,            0.005941
                  43,             0.03001,            0.027135,           0.0028092,             0.93638,             0.95144,             0.98882,             0.70007,              0.0217,            0.008832,           0.0060112,            0.005842,            0.005842,            0.005842
                  44,            0.025957,            0.016221,           0.0023827,             0.93626,             0.96079,             0.98579,              0.6544,            0.027158,           0.0090246,           0.0055679,            0.005743,            0.005743,            0.005743
                  45,            0.028192,            0.017848,           0.0032522,             0.93059,             0.96091,              0.9845,             0.79551,            0.016847,           0.0085411,           0.0057356,            0.005644,            0.005644,            0.005644
                  46,            0.027556,             0.01744,           0.0028244,             0.93091,             0.96202,             0.98882,               0.616,            0.026124,           0.0095472,           0.0057106,            0.005545,            0.005545,            0.005545
                  47,            0.029418,            0.019623,           0.0030868,             0.92934,             0.96301,             0.99148,             0.76827,            0.018307,           0.0086327,           0.0058506,            0.005446,            0.005446,            0.005446
                  48,            0.026102,            0.017082,           0.0032225,             0.91838,             0.96154,             0.97773,             0.62951,            0.027782,           0.0097933,           0.0070854,            0.005347,            0.005347,            0.005347
                  49,            0.026326,            0.015966,           0.0033188,             0.92608,             0.96176,             0.96856,             0.72291,            0.021632,              0.0091,           0.0058846,            0.005248,            0.005248,            0.005248
                  50,            0.025732,            0.016677,           0.0022575,             0.93544,             0.96088,              0.9646,             0.69154,            0.023574,           0.0093164,           0.0051666,            0.005149,            0.005149,            0.005149
                  51,            0.026669,            0.022421,           0.0025253,             0.93688,             0.96429,              0.9677,             0.70849,            0.024551,           0.0093384,           0.0053251,             0.00505,             0.00505,             0.00505
                  52,            0.026625,            0.020389,           0.0033677,             0.94385,             0.96429,             0.96532,             0.76777,            0.018959,           0.0090408,           0.0051008,            0.004951,            0.004951,            0.004951
                  53,            0.023855,            0.014698,           0.0022993,             0.93687,              0.9603,              0.9681,             0.69458,            0.024743,           0.0095291,           0.0056252,            0.004852,            0.004852,            0.004852
                  54,            0.026429,            0.021401,           0.0021753,             0.92435,             0.96138,             0.96861,             0.69807,            0.023915,           0.0095558,           0.0066299,            0.004753,            0.004753,            0.004753
                  55,            0.024674,            0.016277,           0.0036445,             0.92717,             0.96283,             0.96995,             0.63164,            0.027519,           0.0096521,           0.0068684,            0.004654,            0.004654,            0.004654
                  56,            0.025451,            0.016672,           0.0031463,             0.92256,             0.96146,             0.97076,             0.72572,            0.020839,           0.0089464,           0.0067982,            0.004555,            0.004555,            0.004555
                  57,            0.023446,            0.015979,           0.0026917,             0.93962,              0.9591,              0.9769,             0.66664,            0.023534,            0.009222,           0.0051622,            0.004456,            0.004456,            0.004456
                  58,            0.023464,            0.017002,           0.0024776,              0.9182,             0.99114,               0.995,             0.78987,            0.016822,           0.0084686,           0.0058605,            0.004357,            0.004357,            0.004357
                  59,            0.026357,            0.018087,           0.0025135,             0.91851,             0.99501,               0.995,             0.65024,             0.02542,             0.00947,           0.0055752,            0.004258,            0.004258,            0.004258
                  60,            0.022895,            0.015325,           0.0022544,             0.93167,             0.96405,             0.99063,             0.75408,            0.018443,           0.0083971,           0.0060913,            0.004159,            0.004159,            0.004159
                  61,            0.022267,            0.015916,           0.0023538,             0.92869,             0.96429,             0.97841,             0.64286,             0.02896,            0.009634,           0.0063911,             0.00406,             0.00406,             0.00406
                  62,            0.023544,            0.016728,           0.0022664,             0.92734,             0.96429,             0.98763,             0.78675,            0.017605,           0.0082645,           0.0063622,            0.003961,            0.003961,            0.003961
